18.89264027	28.48032001	1	gas
17.26933871	22.65553204	1	gas
14.88213052	24.04011278	1	gas
23.04638252	21.98711375	1	gas
18.36745447	26.71378595	1	gas
17.50805953	28.43257585	1	gas
19.32233775	28.71904083	1	gas
19.46557024	30.39008656	1	gas
21.04112764	31.44045816	1	gas
14.49137274	21.72102947	1	gas
14.90093093	19.9189734	1	gas
11.91115609	19.34559192	1	gas
21.53577373	32.90196825	1	gas
21.78150865	35.56409653	1	gas
24.09675412	25.94987933	2	brine
27.91628721	21.50967211	2	brine
27.62982223	23.7536478	2	brine
27.86854305	25.3292052	2	brine
29.15763547	28.67129666	2	brine
28.82342632	24.37432193	2	brine
28.25049636	26.37957681	2	brine
28.82342632	25.85439101	2	brine
28.81221401	30.73087977	2	brine
29.89155549	32.20270906	2	brine
30.03873842	29.74966024	2	brine
26.35916519	23.3717333	2	brine
24.64203101	19.54497714	2	brine
24.34766516	22.24333084	2	brine
22.47345255	29.24422663	3	gas
24.3832191	36.69231617	3	gas
23.57100932	32.47642561	3	gas
23.04638252	21.98711375	11	support_gas
24.09675412	25.94987933	22	support_brine
24.64203101	19.54497714	22	support_brine
24.34766516	22.24333084	22	support_brine
