pix2pix, tv, bilat, wavelet
934.638539509, 3986.90758271, 4755.28990984, 5353.24646186, 
1470.67323511, 3445.4896454, 4311.35638971, 5107.44470717, 
1796.59398083, 7558.94320619, 7855.536865, 7873.7905017, 
3192.42841154, 3167.48739031, 4286.5896499, 5065.26719911, 
2015.34962293, 2991.75297695, 4215.5486958, 4807.49025903, 
2403.32732203, 8406.63930513, 8731.24685935, 8804.27597685, 
1813.79943978, 2929.46315393, 4164.29159885, 4967.39051722, 
3135.85682508, 2884.61948617, 4118.13086957, 4833.83559537, 
1491.62648649, 6118.10994027, 6756.2252282, 7189.79918277, 
4131.87793914, 3385.27048998, 4219.87067353, 4945.71990506, 
1599.68510288, 2312.88051347, 3727.48717398, 4588.06054316, 
804.680126523, 2563.19593725, 3942.32258466, 4692.38051505, 
4789.78635815, 3820.50800075, 4653.80872013, 5433.19741033, 
734.622787493, 3218.14786775, 4407.96295735, 5214.92675353, 
2544.61091618, 2950.80406593, 4070.46996041, 4929.01900266, 
1948.72324395, 2607.96841742, 3979.24704046, 4816.32350894, 
1078.0296146, 2771.237099, 4062.64417514, 4824.03707846, 
1385.33266904, 7161.02589274, 7599.87368811, 7793.3301241, 
897.802413273, 6032.47662859, 6442.76214677, 6795.28351067, 
1256.96751732, 4504.29699566, 5277.15803459, 5820.88531436, 
966.079963801, 4187.79539192, 5062.89422824, 5672.46181707, 
2152.36804992, 6133.24827378, 6744.28988959, 7164.59405014, 
949.380058803, 2553.00884241, 3920.39892996, 4704.04691158, 
756.531269841, 4013.2987408, 4682.8583101, 5323.45550573, 
1655.12830568, 3934.25786566, 4924.2186987, 5578.62485487, 
1307.01404695, 7482.56377762, 7796.0483946, 7820.64747002, 
764.904561932, 5213.57035732, 5624.75428383, 6123.75943478, 
4574.62430242, 5114.30535676, 5545.50309705, 6058.18010116, 
4622.37521091, 7791.43004717, 8007.79902993, 8234.3912075, 
1366.14780341, 6931.08883655, 7281.96609589, 7510.58576597, 
1271.7568439, 3770.36269615, 4506.6394843, 5316.91975124, 
3559.064, 4588.44214119, 5115.79022489, 5624.95364313, 
722.794220846, 2433.81176159, 3693.60294914, 4622.15988029, 
874.322128852, 3180.78930237, 4415.88154267, 5203.59935007, 
1117.99163449, 7567.81523358, 7864.3552657, 7887.38362297, 
2553.6648026, 5913.51574015, 6665.06648834, 7272.40762783, 
946.061916836, 2750.69699271, 3980.63288978, 4827.01926444, 
1688.54347826, 3945.27974466, 4900.75763199, 5610.63235688, 
1423.84061625, 2373.23747683, 3795.2880414, 4618.25461124, 
1395.54166667, 7545.27706913, 7844.30031646, 7857.47656112, 
3002.18039216, 3149.55740166, 4378.61374963, 5125.67582818, 
8596.58582784, 2799.87924096, 4035.83932721, 4781.02748808, 
2682.70698107, 2785.1886093, 3988.91463393, 4881.30119918, 
1974.85188156, 2814.87525211, 4147.39071391, 4922.33991806, 
3045.47216362, 2052.31514512, 3555.53413396, 4306.27165992, 
2417.03600887, 6617.78366315, 6996.86620069, 7194.79921257, 
1518.99256911, 3522.66079072, 4520.10627024, 5018.15317813, 
1222.95444947, 2404.20757909, 3825.40918895, 4651.71264735, 
